code_name,group,file_name,link,export_folder,export_name
fsr fm,fsr,vn_prior_first_mile_details,https://metabase.ninjavan.co/question/38177-vn-prior-first-mile-details?ReadyDate=start_date_~end_date_&region=HN,G:\My Drive\Ninjavan Data\Fleet\FSR\FSR FM,Pickup Performance
fsr lm,fsr,vn_prior_deli_details,https://metabase.ninjavan.co/question/37372-vn-prior-deli-details?sla_success_date=start_date_~end_date_&hub_region=HN&exclude_2021_11_01=1&start=2021-12-01&end=2022-12-31,G:\My Drive\Ninjavan Data\Fleet\FSR\FSR LM,Delivery Performance
fm kpi aggregated,fm,vn_c2c_fm_kpi_aggregated,https://metabase.ninjavan.co/question/29700-vn-c2c-fm-kpi-aggregated?shipper_aggregation=false&exclude_2021_11_01=true&ignore_miss_match=true&region=HN&aggregation=day&sla_aggregation=all&province_aggregation=true&scheduled_pickup_date=start_date_~end_date_&hub_aggregation=true,G:\My Drive\Ninjavan Data\Fleet\Firstmile KPI\Firstmile KPI (All Shipper),Firstmile_Schedule
fm kpi detail,fm,vn_c2c_fm_kpi_details,https://metabase.ninjavan.co/question/29645-vn-c2c-fm-kpi-details?exclude_2021_11_01=true&ignore_miss_match=true&region=HN&kpi_type=fail&scheduled_pickup_date=start_date_~end_date_,G:\My Drive\Ninjavan Data\Fleet\Firstmile KPI\Detail Data Firstmile KPI (All Shipper),Fail C2C FM (All Shipper)
pnr,fm,vn_lazada_pickup_fail_order_details,https://metabase.ninjavan.co/question/27035-vn-lazada-pickup-fail-order-details?creation_datetime=start_date_~end_date_&system_id=vn,G:\My Drive\Ninjavan Data\Fleet\PNR Lazada,VN Lazada Pickup Fail Order Details
vn-lm-kpi-aggregated,lm,vn_lm_kpi_aggregated,https://metabase.ninjavan.co/question/25037-vn-lm-kpi-aggregated?hub_region=HN&exclude_2021_11_01=yes&start=start_date_&end=end_date_,G:\My Drive\Ninjavan Data\Fleet\Lastmile KPI\Lastmile KPI (Shopee),Lastmile KPI (Shopee)
vn-lm-kpi-details,lm,vn_lm_kpi_details,https://metabase.ninjavan.co/question/24614-vn-lm-kpi-details?hub_region=HN&exclude_2021_11_01=yes&start=start_date_&kpi_type=fail&end=end_date_&is_shopee=yes,G:\My Drive\Ninjavan Data\Fleet\Lastmile KPI\Detail Data Lastmile KPI (Shopee),Detail Fail LM KPI (Shopee)
vn-rts-kpi-salary-calculation,lm,vn_rts_kpi___salary_calculation,https://metabase.ninjavan.co/question/49058-opex-hn-lastmile-kpi-rts-nonshopee?start=start_date_&aggregation=day&end=end_date_&dest_hub_region=HN,G:\My Drive\Ninjavan Data\Fleet\Lastmile KPI\Lastmile KPI RTS (NonShopee),Lastmile KPI RTS (NonShopee)
vn-rts-kpi-order-details,lm,vn_rts_kpi___order_details,https://metabase.ninjavan.co/question/39677-vn-rts-kpi-order-details?rts_flag=1&exclude_2021_11_01=true&start=start_date_&end=end_date_&is_shopee=false&dest_hub_region=HN,G:\My Drive\Ninjavan Data\Fleet\Lastmile KPI\Detail Data Lastmile KPI RTS (NonShopee),VN RTS KPI - Order Details
non shopee slot 2,dailylm,non_shopee_slot_2,https://metabase.ninjavan.co/question/47423-non-shopee-slot-2?hub_region=HN&exclude_2021_11_01=yes&start=start_date_&kpi_type=all&end=end_date_&is_shopee=no,,NonShopee Slot 2
6th KPI detail,nshopee,_ops_kpi___non_shopee__delivery_success_at_first_attempt___detail___opex,https://metabase.ninjavan.co/question/43919-ops-kpi-non-shopee-delivery-success-at-first-attempt-detail-opex?exclude_orders_EXCL_FMAJ_tag=yes&sla_date=start_date_~end_date_&hub_region=HN,G:\My Drive\Ninjavan Data\Fleet\Lastmile KPI\Detail Data Lastmile KPI (NonShopee),Detail Data Lastmile KPI (NonShopee)
6th KPI aggregate,nshopee,_ops_kpi___non_shopee__delivery_success_at_first_attempt____aggregated___opex,https://metabase.ninjavan.co/question/43926-ops-kpi-non-shopee-delivery-success-at-first-attempt-aggregated-opex?exclude_orders_EXCL_FMAJ_tag=yes&sla_date=start_date_~end_date_&aggregation=day&hub_region=HN,G:\My Drive\Ninjavan Data\Fleet\Lastmile KPI\Lastmile KPI (NonShopee),Lastmile KPI (NonShopee)
fm njbiz,njbiz,_mobile_app__pickup_success_on_time_rate___detail___opex,https://metabase.ninjavan.co/question/43258-mobile-app-pickup-success-on-time-rate-detail-opex?creation_date=start_date_~end_date_&hub_region=HN,G:\My Drive\Ninjavan Data\Fleet\Mobile App\Firstmile NinjaBiz,Firstmile NinjaBiz Detail
lm njbiz,njbiz,_mobile_app__delivery_success_on_time_rate___detail___opex,https://metabase.ninjavan.co/question/43259-mobile-app-delivery-success-on-time-rate-detail-opex?sla_date=start_date_~end_date_&hub_region=HN,G:\My Drive\Ninjavan Data\Fleet\Mobile App\Lastmile NinjaBiz,Lastmile NinjaBiz Detail
